model,sample_index,image_id,true_label,target_label,clean_pred,adv_pred,clean_correct,stored_attack_success,quantized_attack_success,selected_for_metrics,stored_vs_quantized_success_match,stored_status,clean_path,attack_path
swin,0,0aebe24fc257286e,560,314,560,974,True,True,True,True,True,ok,data/nips2017/images/0aebe24fc257286e.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0000/images/final_selected.png
swin,1,0af0a5dfee6b84ff,483,807,483,698,True,True,True,True,True,ok,data/nips2017/images/0af0a5dfee6b84ff.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0001/images/final_selected.png
swin,2,0b1d45bd9ab1064e,560,562,560,461,True,True,True,True,True,ok,data/nips2017/images/0b1d45bd9ab1064e.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0002/images/final_selected.png
swin,3,000b7d55b6184b08,388,962,388,294,True,True,True,True,True,ok,data/nips2017/images/000b7d55b6184b08.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0003/images/final_selected.png
swin,4,0bd5123017590e39,565,429,565,974,True,True,True,True,True,ok,data/nips2017/images/0bd5123017590e39.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0004/images/final_selected.png
swin,5,0be391239ccba0f2,718,995,718,975,True,True,True,True,True,ok,data/nips2017/images/0be391239ccba0f2.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0005/images/final_selected.png
swin,6,00c3cd597f1ee96f,137,95,137,205,True,True,True,True,True,ok,data/nips2017/images/00c3cd597f1ee96f.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0006/images/final_selected.png
swin,7,0c7ac4a8c9dfa802,305,778,305,302,True,True,True,True,True,ok,data/nips2017/images/0c7ac4a8c9dfa802.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0007/images/final_selected.png
swin,8,0ceee9a38409e30c,483,711,483,562,True,True,True,True,True,ok,data/nips2017/images/0ceee9a38409e30c.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0008/images/final_selected.png
swin,9,0d65cb9d26de4d37,570,335,570,570,True,False,False,False,True,ok,data/nips2017/images/0d65cb9d26de4d37.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0009/images/final_selected.png
swin,10,0d85e0103989c850,323,721,323,951,True,True,True,True,True,ok,data/nips2017/images/0d85e0103989c850.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0010/images/final_selected.png
swin,11,0d6463e9a7ef6185,770,785,770,630,True,True,True,True,True,ok,data/nips2017/images/0d6463e9a7ef6185.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0011/images/final_selected.png
swin,12,0d29832e5da60f5f,972,180,972,825,True,True,True,True,True,ok,data/nips2017/images/0d29832e5da60f5f.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0012/images/final_selected.png
swin,13,0db0952967f6faa6,815,551,815,733,True,True,True,True,True,ok,data/nips2017/images/0db0952967f6faa6.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0013/images/final_selected.png
swin,14,0dffbfa7ba43cb90,961,94,961,964,True,True,True,True,True,ok,data/nips2017/images/0dffbfa7ba43cb90.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0014/images/final_selected.png
swin,15,0e0f1fd2ed183781,113,987,113,974,True,True,True,True,True,ok,data/nips2017/images/0e0f1fd2ed183781.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0015/images/final_selected.png
swin,16,0e9bdc3ab80b1a71,366,334,366,279,True,True,True,True,True,ok,data/nips2017/images/0e9bdc3ab80b1a71.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0016/images/final_selected.png
swin,17,0e83f990a04ed67d,821,51,821,821,True,False,False,False,True,ok,data/nips2017/images/0e83f990a04ed67d.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0017/images/final_selected.png
swin,18,0e0299d6352a3fb8,538,3,538,455,True,True,True,True,True,ok,data/nips2017/images/0e0299d6352a3fb8.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0018/images/final_selected.png
swin,19,0e71473957df4793,877,347,877,742,True,True,True,True,True,ok,data/nips2017/images/0e71473957df4793.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0019/images/final_selected.png
swin,20,0ed355357757528d,762,794,762,415,True,True,True,True,True,ok,data/nips2017/images/0ed355357757528d.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0020/images/final_selected.png
swin,21,0f9d8c86a9f38020,759,117,759,974,True,True,True,True,True,ok,data/nips2017/images/0f9d8c86a9f38020.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0021/images/final_selected.png
swin,22,0f36316247c03427,752,680,752,752,True,False,False,False,True,ok,data/nips2017/images/0f36316247c03427.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0022/images/final_selected.png
swin,23,1a94dc47fdd84a95,869,829,869,582,True,True,True,True,True,ok,data/nips2017/images/1a94dc47fdd84a95.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0023/images/final_selected.png
swin,24,1a680f33500acb4b,931,72,931,470,True,True,True,True,True,ok,data/nips2017/images/1a680f33500acb4b.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0024/images/final_selected.png
swin,25,1a7425e8f990e04a,607,675,607,634,True,True,True,True,True,ok,data/nips2017/images/1a7425e8f990e04a.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0025/images/final_selected.png
swin,26,1a264165276e3c85,854,758,854,497,True,True,True,True,True,ok,data/nips2017/images/1a264165276e3c85.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0026/images/final_selected.png
swin,27,1a95932427129cda,656,464,656,436,True,True,True,True,True,ok,data/nips2017/images/1a95932427129cda.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0027/images/final_selected.png
swin,28,1ac44ddb6a2d497a,897,26,897,700,True,True,True,True,True,ok,data/nips2017/images/1ac44ddb6a2d497a.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0028/images/final_selected.png
swin,29,1b1ffd7000d0749f,959,990,959,532,True,True,True,True,True,ok,data/nips2017/images/1b1ffd7000d0749f.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0029/images/final_selected.png
swin,30,001b5e6f1b89fd3b,576,908,576,576,True,False,False,False,True,ok,data/nips2017/images/001b5e6f1b89fd3b.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0030/images/final_selected.png
swin,31,1b57d7bbd673c771,422,926,422,778,True,True,True,True,True,ok,data/nips2017/images/1b57d7bbd673c771.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0031/images/final_selected.png
swin,32,1b546695167d3f6e,959,836,959,908,True,True,True,True,True,ok,data/nips2017/images/1b546695167d3f6e.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0032/images/final_selected.png
swin,33,1ba816dc6937b62d,859,767,859,974,True,True,True,True,True,ok,data/nips2017/images/1ba816dc6937b62d.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0033/images/final_selected.png
swin,34,1bb5f1337dfb1edd,640,292,640,646,True,False,True,False,False,ok,data/nips2017/images/1bb5f1337dfb1edd.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0034/images/final_selected.png
swin,35,01bdc0cfe670f708,471,540,471,730,True,True,True,True,True,ok,data/nips2017/images/01bdc0cfe670f708.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0035/images/final_selected.png
swin,36,1be47d60e0156bbb,649,911,649,972,True,True,True,True,True,ok,data/nips2017/images/1be47d60e0156bbb.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0036/images/final_selected.png
swin,37,1c2e9fe8b0b2fdf2,57,904,57,41,True,True,True,True,True,ok,data/nips2017/images/1c2e9fe8b0b2fdf2.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0037/images/final_selected.png
swin,38,1c924877ccc60129,409,566,409,835,True,True,True,True,True,ok,data/nips2017/images/1c924877ccc60129.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0038/images/final_selected.png
swin,39,1cbae41091a750dc,472,813,472,974,True,True,True,True,True,ok,data/nips2017/images/1cbae41091a750dc.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0039/images/final_selected.png
swin,40,1cc2caf8e5db27c3,430,606,430,332,True,True,True,True,True,ok,data/nips2017/images/1cc2caf8e5db27c3.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0040/images/final_selected.png
swin,41,1cfa5381359bff9f,421,851,421,888,True,True,True,True,True,ok,data/nips2017/images/1cfa5381359bff9f.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0041/images/final_selected.png
swin,42,1d4133f5bc7af193,140,910,140,139,True,True,True,True,True,ok,data/nips2017/images/1d4133f5bc7af193.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0042/images/final_selected.png
swin,43,1d5361e858fe8462,498,522,498,854,True,True,True,True,True,ok,data/nips2017/images/1d5361e858fe8462.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0043/images/final_selected.png
swin,44,1dc0533f87996962,565,852,565,675,True,True,True,True,True,ok,data/nips2017/images/1dc0533f87996962.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0044/images/final_selected.png
swin,45,01dd15caa1b2c7b4,303,550,303,311,True,True,True,True,True,ok,data/nips2017/images/01dd15caa1b2c7b4.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0045/images/final_selected.png
swin,46,1df5e1adad21d618,404,555,404,872,True,True,True,True,True,ok,data/nips2017/images/1df5e1adad21d618.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0046/images/final_selected.png
swin,47,1dfbeffd999f280e,581,568,581,751,True,True,True,True,True,ok,data/nips2017/images/1dfbeffd999f280e.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0047/images/final_selected.png
swin,48,1e4bb9fd37654da6,819,537,819,413,True,True,True,True,True,ok,data/nips2017/images/1e4bb9fd37654da6.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0048/images/final_selected.png
swin,49,1e33aa336b89dcff,538,587,884,884,False,True,False,False,True,ok,data/nips2017/images/1e33aa336b89dcff.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0049/images/final_selected.png
swin,50,1e408a8d1e2cdc74,768,778,768,646,True,True,True,True,True,ok,data/nips2017/images/1e408a8d1e2cdc74.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0050/images/final_selected.png
swin,51,1e26772fc8c493bb,415,13,415,952,True,True,True,True,True,ok,data/nips2017/images/1e26772fc8c493bb.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0051/images/final_selected.png
swin,52,1e77361718213a43,439,434,439,875,True,True,True,True,True,ok,data/nips2017/images/1e77361718213a43.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0052/images/final_selected.png
swin,53,1ebff1b3c8de66de,336,809,336,81,True,True,True,True,True,ok,data/nips2017/images/1ebff1b3c8de66de.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0053/images/final_selected.png
swin,54,1ef172b89f4a39cf,50,535,50,30,True,True,True,True,True,ok,data/nips2017/images/1ef172b89f4a39cf.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0054/images/final_selected.png
swin,55,1f3f949ccbc81c93,303,665,303,307,True,True,True,True,True,ok,data/nips2017/images/1f3f949ccbc81c93.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0055/images/final_selected.png
