model,sample_index,image_id,true_label,target_label,clean_pred,adv_pred,stored_attack_success,quantized_attack_success,dinov3_similarity,dinov3_distance,idsim_similarity,idsim_distance,clean_path,attack_path,source_prompt,prompt_correct_labels,prompt_correct_label_names,prompt_label_match,prompt_corrected_success
swin,0,0aebe24fc257286e,560,314,560,974,True,True,0.8871631622314453,0.11283683776855469,0.8904556035995483,0.10954439640045166,data/nips2017/images/0aebe24fc257286e.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0000/images/final_selected.png,add light mist,[],[],False,True
swin,1,0af0a5dfee6b84ff,483,807,483,698,True,True,0.7595245838165283,0.24047541618347168,0.8313063979148865,0.16869360208511353,data/nips2017/images/0af0a5dfee6b84ff.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0001/images/final_selected.png,place in arid plains,[],[],False,True
swin,2,0b1d45bd9ab1064e,560,562,560,461,True,True,0.9037673473358154,0.09623265266418457,0.6095649003982544,0.3904350996017456,data/nips2017/images/0b1d45bd9ab1064e.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0002/images/final_selected.png,coated in brushed aluminum,[],[],False,True
swin,3,000b7d55b6184b08,388,962,388,294,True,True,0.28788429498672485,0.7121157050132751,0.4167364835739136,0.5832635164260864,data/nips2017/images/000b7d55b6184b08.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0003/images/final_selected.png,coated in fine moss,[],[],False,True
swin,4,0bd5123017590e39,565,429,565,974,True,True,0.7746359705924988,0.22536402940750122,0.8177021741867065,0.18229782581329346,data/nips2017/images/0bd5123017590e39.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0004/images/final_selected.png,a photo of freight car in the background,[565],"[""freight car""]",False,True
swin,5,0be391239ccba0f2,718,995,718,975,True,True,0.6034600138664246,0.39653998613357544,0.3905053734779358,0.6094946265220642,data/nips2017/images/0be391239ccba0f2.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0005/images/final_selected.png,coated in damp moss,[],[],False,True
swin,6,00c3cd597f1ee96f,137,95,137,205,True,True,0.5927841663360596,0.40721583366394043,0.5247666239738464,0.47523337602615356,data/nips2017/images/00c3cd597f1ee96f.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0006/images/final_selected.png,coated in wet sheen,[],[],False,True
swin,7,0c7ac4a8c9dfa802,305,778,305,302,True,True,0.8181594014167786,0.18184059858322144,0.8141106367111206,0.1858893632888794,data/nips2017/images/0c7ac4a8c9dfa802.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0007/images/final_selected.png,coated in dark resin,[],[],False,True
swin,8,0ceee9a38409e30c,483,711,483,562,True,True,0.8955338001251221,0.10446619987487793,0.8521319627761841,0.14786803722381592,data/nips2017/images/0ceee9a38409e30c.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0008/images/final_selected.png,introduce heavy downpour,[],[],False,True
swin,10,0d85e0103989c850,323,721,323,951,True,True,0.8675203323364258,0.13247966766357422,0.7408867478370667,0.25911325216293335,data/nips2017/images/0d85e0103989c850.png,outputs/nips2017/nips2017_selected_20260714_195944/swin/ablation_and_no_verifier/sample_0010/images/final_selected.png,a photo of monarch in the background,[323],"[""monarch""]",False,True
